repository name,stars,watchings,forks,Languages
playstore-Dataset,,2,4,None
OPENAI-API-Tutorials,,1,0,None
Diabetes-Prediction-With-deployment,,2,4,"['Jupyter', 'Other']"
DiamondPricePrediction1,,2,5,"['Jupyter', 'Python']"
MLAWS-SagemakerProject,,1,0,['Jupyter']
Text-Summarization-NLP-Project,,2,12,"['Jupyter', 'Python', 'Dockerfile']"
Tutorials-Python-In-Hindi,,4,44,"['Jupyter', 'Python']"
mlproject,,14,297,"['Jupyter', 'Python', 'HTML']"
Prompt-Engineering-LangChain,,1,3,['Jupyter']
Langchain-Tutorials,,1,11,['Python']
Chicken-Disease-Classification-Projects,,1,18,"['Jupyter', 'Python', 'HTML', 'Dockerfile']"
Deployment-flask,,4,497,"['CSS', 'Python', 'HTML']"
DiamondPricePrediction2,,2,1,['Python']
Flask-Web-Framework,,3,176,"['Python', 'HTML']"
FSDSRegression,,3,67,"['Jupyter', 'Python', 'Other']"
Cotton-Disease-Prediction-Deep-Learning,,3,90,"['Jupyter', 'Other']"
Student-Performance-Azure-deployment,,2,5,"['Jupyter', 'Python', 'Other']"
Flight-Price-Prediction1,,2,14,['Jupyter']
AWS-CI-CD-Projects,,2,26,"['Jupyter', 'Python', 'Other']"
ML-Project-Azure,,1,2,"['Jupyter', 'Python', 'Other']"
Diabetes-Deployment-With-BeanStalk,,2,1,"['Jupyter', 'Other']"
Studentmlprojectregression,,2,9,"['Jupyter', 'Other']"
Students-MLProjectsRegression,,2,0,None
Docker-For-Data-Science,,2,11,"['Python', 'Dockerfile']"
Visualize-Multiple-Linear-Regression,,2,12,['Python']
algearianforestfire,,2,0,"['Jupyter', 'Other']"
testflask,,2,0,"['Jupyter', 'Other']"
testforestfires,,2,0,"['Jupyter', 'Other']"
forestfire,,2,2,"['Jupyter', 'Other']"
playstore-Dataset,,2,4,None
OPENAI-API-Tutorials,,1,0,None
Diabetes-Prediction-With-deployment,,2,4,"['Jupyter', 'Other']"
DiamondPricePrediction1,,2,5,"['Jupyter', 'Python']"
MLAWS-SagemakerProject,,1,0,['Jupyter']
Text-Summarization-NLP-Project,,2,12,"['Jupyter', 'Python', 'Dockerfile']"
Tutorials-Python-In-Hindi,,4,44,"['Jupyter', 'Python']"
mlproject,,14,297,"['Jupyter', 'Python', 'HTML']"
Prompt-Engineering-LangChain,,1,3,['Jupyter']
Langchain-Tutorials,,1,11,['Python']
Chicken-Disease-Classification-Projects,,1,18,"['Jupyter', 'Python', 'HTML', 'Dockerfile']"
Deployment-flask,,4,497,"['CSS', 'Python', 'HTML']"
DiamondPricePrediction2,,2,1,['Python']
Flask-Web-Framework,,3,176,"['Python', 'HTML']"
FSDSRegression,,3,67,"['Jupyter', 'Python', 'Other']"
Cotton-Disease-Prediction-Deep-Learning,,3,90,"['Jupyter', 'Other']"
Student-Performance-Azure-deployment,,2,5,"['Jupyter', 'Python', 'Other']"
Flight-Price-Prediction1,,2,14,['Jupyter']
